fr,dje
"La pollution de l'air est la contamination de l'atmosphère intérieure ou extérieure par tout agent chimique, physique ou biologique qui modifie les caractéristiques naturelles de l'atmosphère.","Polüsyon de l'er ga ti atmosfer cire wala banda laala ajan shimik, fizik wala biyolojik kul do ka ga atmosfer alhaali naturelley barmay."
"La pollution de l'eau est la contamination des plans d'eau, généralement à la suite d'activités humaines.","Polüsyon de l'o ga ti hari nangey laala, waati boobo boro goyey banda."
La pollution des sols est la dégradation de la qualité des terres due à la présence de produits chimiques ou d'autres altérations de l'état naturel du sol.,Polüsyon de sol ga ti laabu kalite laala hay shimik wala laabu alhaali naturel barmay fooyaŋ goro do.
La pollution sonore est la propagation du bruit avec des impacts néfastes sur l'activité des humains ou des animaux.,Polüsyon sonor ga ti jinde beeri fayfayyaŋ ka gonda goy laalo boro wala alman goy boŋ.
La pollution lumineuse est la présence de lumière artificielle excessive ou mal dirigée dans l'environnement nocturne.,Polüsyon liminez ga ti kaari artifisyel ka bisa wala ka si candi kaani goro cin nangu ra.
"L'évaluation de l'impact environnemental (EIE) est l'évaluation des conséquences environnementales (positives ou négatives) d'un plan, d'une politique, d'un programme ou de projets réels avant la décision de passer à l'action.","Evaluasyon de l'enpak environnemantal (EIE) ga ti plan, politik, program wala proje cimi goy environnemaŋ boŋ (pozitiv wala negativ) lasaabu za i mana anniya te ka i ma goy."
"La remédiation environnementale traite de l'élimination de la pollution ou des contaminants des milieux environnementaux tels que le sol, les eaux souterraines, les sédiments ou les eaux de surface.","Remediyasyon environnemantal ga polüsyon wala kontaminan tuusuyaŋ nangu environnemantal sanda laabu, laabu cire hari, sediman wala hari ka go boŋ gaa hima."
"La justice environnementale est le traitement équitable et l'implication significative de toutes les personnes, quels que soient leur race, leur couleur, leur origine nationale ou leurs revenus, en ce qui concerne l'élaboration, la mise en œuvre et l'application des lois, réglementations et politiques environnementales.","Jüstis environnemantal ga ti boro kul teyan adili da i koto ka gonda alhorma, baa i ras, i fär, i asuli wala i duuyaŋ, fonda, regleman da politik environnemantal teyan, i daŋyan goy ra da i goyandiyan hima."
L'astronomie est une science naturelle qui étudie les objets et phénomènes célestes.,Astronomi ga ti science naturel ka ga beero objey da fenomeney dondon.
Un télescope est un instrument optique qui rend les objets éloignés plus proches ou plus grands.,Teleskop ga ti enstrüman optik ka ga obje moorey te i ma maan wala i ma beeri.
Un observatoire est un lieu utilisé pour observer les événements terrestres ou célestes.,Observatuwar ga ti nangu ka i ga goyandi zama i ma ndunnya wala beero hayey ka te guna.
Une étoile est un corps astronomique constitué d'un sphéroïde lumineux de plasma maintenu ensemble par sa propre gravité.,Etwal ga ti kor astronomik ka ga te da sferoyid kaari plasma wane ka nga gravite bumbo g'a gaay care gaa.
"Une planète est un corps astronomique orbitant autour d'une étoile ou de restes stellaires, suffisamment massif pour être arrondi par sa propre gravité, qui n'est pas assez massif pour provoquer une fusion thermonucléaire, et qui a dégagé son voisinage planétaire.","Planet ga ti kor astronomik ka ga etwal wala etwal banda windi, ka tiŋo gumo hala nga gravite bumbo g'a windi, ka si tiŋo gumo hala a ma fizyon termonükleyer te, ka na nga planet nangu hanse."
Une lune (ou satellite naturel) est un corps astronomique qui orbite autour d'une planète ou d'une planète mineure.,Handu (wala satelit naturel) ga ti kor astronomik ka ga planet wala planet kayna windi.
Un astéroïde est une planète mineure du système solaire interne.,Asteroyid ga ti planet kayna sistem soler cire wane.
"Une comète est un petit corps glacé du système solaire qui, lorsqu'il passe près du Soleil, se réchauffe et commence à dégazer, affichant une atmosphère visible ou coma, et parfois aussi une queue.","Komet ga ti kor glas kayna sistem soler wane ka, waati ka a ga bisa Wayna jarga, ga gullo, a ga sintin ka gaz naŋ, ka ga atmosfer ka di wala koma cabe, da biri waati fooyaŋ mo."
"Une météorite est un débris solide d'un objet, tel qu'une comète, un astéroïde ou un météoroïde, qui provient de l'espace extra-atmosphérique et survit à son passage dans l'atmosphère pour atteindre la surface d'une planète ou d'une lune.","Meteorit ga ti obje fo koso solid, sanda komet, asteroyid wala meteoroyid, ka ga fun espas atmosfer banda, ka ga nga bisa atmosfer ra hin ka to planet wala handu boŋ."
"Une galaxie est un système gravitationnellement lié d'étoiles, de restes stellaires, de gaz interstellaire, de poussière et de matière noire.","Galaksi ga ti sistem ka gravite g'a haw etwal, etwal banda, gaz entersteler, laabu fumbu da mater nuwar wane."
La Voie lactée est la galaxie qui contient notre système solaire.,Vwa lakte no ga ti galaksi ka iri sistem soler go ra.
Un trou noir est une région de l'espace-temps où la gravité est si forte que rien – pas même les particules et le rayonnement électromagnétique tels que la lumière – ne peut s'en échapper.,Tru nuwar ga ti espas-tan nangu fo ka gravite ga gaabi gumo hala hay kulu – baa partikul da rayonneman elektromagnetik sanda kaari – si hin ka fatta.
Le Big Bang est le modèle cosmologique dominant pour l'univers observable depuis les premières périodes connues jusqu'à son évolution ultérieure à grande échelle.,Big Bang no ga ti model kosmolojik ka bisa kul univers ka di se waati ka i bay sintina gaa hala a evolüsyon ka te banda lasaabu beeri boŋ.
La matière noire est une forme hypothétique de matière que l'on pense représenter environ 85 % de la matière dans l'univers et environ un quart de sa densité énergétique totale.,Mater nuwar ga ti mater dumi hipotetik ka i ga lasaabu ka a ga hima mater 85 % ndunnya ra da a densite enerjetik kul kwart fo.
L'énergie noire est une forme inconnue d'énergie qui affecte l'univers aux plus grandes échelles.,Enerji nuwar ga ti enerji dumi ka si bay ka ga univers di lasaabu ka bisa kul boŋ.
La cosmologie est une branche de l'astronomie concernée par l'étude de l'origine et de l'évolution de l'univers.,Kosmoloji ga ti astronomi kambe fo ka ga univers sintina da a evolüsyon dondonyaŋ hima.
"L'astrobiologie est un domaine scientifique interdisciplinaire concerné par les origines, l'évolution précoce, la distribution et l'avenir de la vie dans l'univers.","Astrobiyoloji ga ti nangu syantifik enterdisipliner ka ga fundi sintina, a evolüsyon sintina, a fayfayyaŋ da a suba univers ra hima."
Une exoplanète ou planète extrasolaire est une planète située en dehors du système solaire.,Ekzoplanet wala planet ekstrasoler ga ti planet ka go sistem soler banda.
La recherche de vie extraterrestre (SETI) est un terme collectif pour les recherches scientifiques visant à trouver une vie intelligente extraterrestre.,Reshersh fundi ekstraterestr boŋ (SETI) ga ti sanni margante reshersh syantifik se ka muraado ga ti ka fundi entelijant ekstraterestr gungun.
"La physique est la science naturelle qui étudie la matière, son mouvement et son comportement à travers l'espace et le temps, ainsi que les entités connexes de l'énergie et de la force.","Fizik ga ti science naturel ka ga mater, a diraw da a alhaali espas da waati ra dondon, da enerji da gaabi antite ka hima care mo."
"La mécanique classique décrit le mouvement des objets macroscopiques, des projectiles aux parties de machines, ainsi que les objets astronomiques, tels que les engins spatiaux, les planètes, les étoiles et les galaxies.","Mekanik klasik ga obje makroskopik diraw cabe, projoktil gaa hala masin koso, da obje astronomik mo, sanda anjen espasyal, planet, etwal da galaksi."
La thermodynamique est une branche de la physique qui traite de la chaleur et de sa relation avec d'autres formes d'énergie et de travail.,Termodinamik ga ti fizik kambe fo ka ga gullum da a alakaw enerji da goy dumi fooyaŋ banda hima.
"L'électromagnétisme est une branche de la physique impliquant l'étude de la force électromagnétique, un type d'interaction physique qui se produit entre les particules chargées électriquement.","Elektromanyetism ga ti fizik kambe fo ka ga fors elektromagnetik dondonyaŋ go ra, ka ti interaksyon fizik dumi fo ka ga te partikul ka gonda sharj elektrik game."
La mécanique quantique est une théorie fondamentale de la physique qui décrit la nature aux plus petites échelles de niveaux d'énergie de l'atome et des particules subatomiques.,Mekanik kwantik ga ti teyori fondamental fizik wane ka ga natur cabe lasaabu ka bisa kul enerji nivo atome da partikul sibatomik wane boŋ.
La relativité est une théorie de la physique qui décrit la relation entre l'espace et le temps.,Relativite ga ti teyori fizik wane ka ga alakaw espas da waati game cabe.
La relativité restreinte s'applique à tous les phénomènes physiques en l'absence de gravité.,Relativite restrent ga fenomen fizik kul hima gravite si teyan ra.
La relativité générale est la théorie géométrique de la gravitation publiée par Albert Einstein en 1915.,Relativite jeneral ga ti teyori jeometrik gravitasyon wane ka Albert Einstein na fatta 1915 ra.
La physique des particules est une branche de la physique qui étudie la nature des particules qui constituent la matière et le rayonnement.,Fizik de partikul ga ti fizik kambe fo ka ga partikul ka ga mater da rayonneman te alhaali dondon.
La physique nucléaire est le domaine de la physique qui étudie les noyaux atomiques et leurs constituants et interactions.,Fizik nikleyer ga ti fizik nangu fo ka ga nwayo atomik da i kosoy da i interaksyon dondon.
La physique atomique est le domaine de la physique qui étudie les atomes en tant que système isolé d'électrons et d'un noyau atomique.,Fizik atomik ga ti fizik nangu fo ka ga atome dondon sanda sistem ka fay elektron da nwayo atomik wane.
La physique de la matière condensée est le domaine de la physique qui traite des propriétés physiques macroscopiques et microscopiques de la matière.,Fizik de la mater kondanse ga ti fizik nangu fo ka ga mater alhaali fizik makroskopik da mikroskopik hima.
"L'optique est la branche de la physique qui étudie le comportement et les propriétés de la lumière, y compris ses interactions avec la matière et la construction d'instruments qui l'utilisent ou la détectent.","Optik ga ti fizik kambe fo ka ga kaari alhaali da a kaanoyaŋ dondon, ka a interaksyon mater banda da enstrüman ka g'a goyandi wala k'a di teyan go ra."
"L'acoustique est une branche de la physique qui traite de l'étude des ondes mécaniques dans les gaz, les liquides et les solides, y compris des sujets tels que les vibrations, le son, les ultrasons et les infrasons.","Akustik ga ti fizik kambe fo ka ga ond mekanik dondonyaŋ gaz, likid da solid ra hima, ka hay sanda vibrasyon, jinde, ultrason da enfrason go ra."
"La chimie est la science qui traite des propriétés, de la composition et de la structure des substances (définies comme des éléments et des composés), des transformations qu'elles subissent et de l'énergie qui est libérée ou absorbée au cours de ces processus.","Shimi ga ti science ka ga sibstans (ka i definisyon te sanda eleman da konpoze) kaanoyaŋ, i konpozisyon da i alhaali, barmay ka i ga te da enerji ka ga feeri wala ka i ga di prosesey din ra hima."
"La chimie organique est une branche de la chimie qui étudie la structure, les propriétés, la composition, les réactions et la préparation (par synthèse ou par d'autres moyens) des composés à base de carbone.","Shimi organik ga ti shimi kambe fo ka ga konpoze ka ga kay karbon boŋ alhaali, i kaanoyaŋ, i konpozisyon, i reaksyon da i teyan (sentez wala mate fooyaŋ do) dondon."
